Here is your entire brainstorm, feature design, bank integrations, and PRD completely restructured into scannable tables for your teammates.
1. Feature Concept & Mechanics Overview


Dimension
	Component Details
	Must calculate and evaluate user access tiers dynamically inside the state engine backend whenever store states update.
	SR-3.1
	Roast Export
	Must render a high-visibility canvas export action button immediately after the local dialect generation sequence completes.
	SR-3.2
	Referral Loop
	QR code targets must accept inbound parameters during onboarding (/setup), triggering a dual credit configuration hook.
	4.2 Technical, Infrastructure & Data Requirements


Layer
	System Target
	Implementation Specification (How It Works Under the Hood)
	Zustand State
	useStore.ts Extension
	Extend global TypeScript interfaces to track: currentStreak: number, highestStreak: number, lastCalculatedDate: string, membershipTier: 'Bronze' | 'Silver' | 'Gold', streakShieldActive: boolean, awfarDrawTickets: number, and isBimbMigrated: boolean.
	Data Sync
	Nova Cloud Instance
	Addresses the app's No Authentication / LocalStorage Only gap. Your Ubuntu cloud instance runs a lightweight API backend (POST /api/user/sync) to persist state arrays securely into a structured relational database.
	Security Layer
	API Key Orchestration
	Migrates the sensitive GEMINI_API_KEY entirely away from client-side vulnerability. Move the route handler proxy logic directly to your secure cloud instance utilizing server-side environment variables (process.env.GEMINI_API_KEY).
	4.3 UI/UX & Visual Requirements
UI Element
	Animation Framework
	Visual Specification
	Streak Tracker
	Tailwind CSS / CSS Modules
	Highly visible, pulsing fire emoji component directly embedded inside the main interactive command dashboard view.
	Tier Status Change
	Framer Motion
	Halts ambient app layouts to display a fullscreen, celebratory card flip animation detailing the unlocked Bank Islam product integrations.
	BeU Pet Reactions
	Framer Motion / SVG Sprites
	Intercepts changes immediately: triggers excited animation loops on successful daily closures, and think states when computing term deposit yields.
	🏆 Pitch Strategy Framework for the Judges
Share this exact positioning table with Wafi, Akmal, Paan, and Ibad to prepare for the presentation slides:
Pitch Angle
	What Traditional Teams Will Say
	What BeU NextGen Proves to Bank Islam Executives
	User Retention
	"We built an app to teach students how to save money through generic data charts."
	"Our streak engine turns the stressful July 31st app migration phase into a gamified milestone loop, moving youth user balances data-ready directly into BIMB Mobile before the shutdown deadline."
	Product Value
	"We show links to basic financial products that users can read about."
	"We seamlessly cross-sell high-value institutional ecosystems (Be U Awfar prizes & Term Deposit-i accounts) by making asset locks a direct perk of gamified lifestyle achievements."
